time,gFx,gFy,gFz,TgF
16:00:43:400,0.9802,0.0381,0.1301,0.990
16:00:43:407,0.9814,0.0371,0.1398,0.992
16:00:43:410,0.9797,0.0373,0.1406,0.990
16:00:43:417,0.9800,0.0388,0.1335,0.990
16:00:43:420,0.9814,0.0383,0.1296,0.991
16:00:43:425,0.9832,0.0381,0.1332,0.993
16:00:43:430,0.9817,0.0381,0.1357,0.992
16:00:43:435,0.9775,0.0386,0.1323,0.987
16:00:43:441,0.9739,0.0410,0.1291,0.983
16:00:43:446,0.9741,0.0415,0.1318,0.984
16:00:43:451,0.9756,0.0390,0.1352,0.986
16:00:43:455,0.9778,0.0371,0.1376,0.988
16:00:43:460,0.9810,0.0364,0.1374,0.991
16:00:43:468,0.9827,0.0366,0.1345,0.992
16:00:43:471,0.9817,0.0383,0.1310,0.991
16:00:43:476,0.9795,0.0415,0.1303,0.989
16:00:43:481,0.9778,0.0422,0.1328,0.988
16:00:43:487,0.9768,0.0420,0.1379,0.987
16:00:43:491,0.9756,0.0420,0.1413,0.987
16:00:43:495,0.9751,0.0425,0.1420,0.986
16:00:43:502,0.9768,0.0422,0.1433,0.988
16:00:43:508,0.9770,0.0415,0.1411,0.988
16:00:43:510,0.9761,0.0420,0.1328,0.986
16:00:43:519,0.9746,0.0425,0.1262,0.984
16:00:43:521,0.9741,0.0430,0.1240,0.983
16:00:43:526,0.9741,0.0434,0.1254,0.983
16:00:43:530,0.9751,0.0430,0.1281,0.984
16:00:43:535,0.9761,0.0432,0.1284,0.985
16:00:43:540,0.9788,0.0432,0.1274,0.988
16:00:43:546,0.9824,0.0408,0.1276,0.992
16:00:43:551,0.9839,0.0400,0.1301,0.993
16:00:43:556,0.9841,0.0400,0.1306,0.994
16:00:43:560,0.9829,0.0400,0.1276,0.992
16:00:43:567,0.9807,0.0395,0.1293,0.990
16:00:43:571,0.9795,0.0395,0.1364,0.990
16:00:43:576,0.9797,0.0393,0.1442,0.991
16:00:43:581,0.9797,0.0381,0.1494,0.992
16:00:43:588,0.9773,0.0381,0.1479,0.989
16:00:43:591,0.9726,0.0408,0.1455,0.984
16:00:43:596,0.9682,0.0444,0.1482,0.981
16:00:43:602,0.9646,0.0466,0.1511,0.977
16:00:43:606,0.9636,0.0456,0.1528,0.977
16:00:43:611,0.9660,0.0420,0.1521,0.979
16:00:43:616,0.9682,0.0410,0.1474,0.980
16:00:43:621,0.9685,0.0430,0.1420,0.980
16:00:43:626,0.9687,0.0432,0.1423,0.980
16:00:43:631,0.9697,0.0417,0.1460,0.982
16:00:43:637,0.9726,0.0398,0.1472,0.985
16:00:43:642,0.9734,0.0390,0.1445,0.985
16:00:43:647,0.9741,0.0405,0.1425,0.985
16:00:43:651,0.9731,0.0405,0.1406,0.984
16:00:43:657,0.9717,0.0393,0.1406,0.983
16:00:43:661,0.9729,0.0373,0.1447,0.984
16:00:43:667,0.9761,0.0356,0.1511,0.988
16:00:43:671,0.9783,0.0361,0.1545,0.991
16:00:43:676,0.9814,0.0371,0.1477,0.993
16:00:43:682,0.9868,0.0368,0.1362,0.997
16:00:43:687,0.9902,0.0364,0.1252,0.999
16:00:43:691,0.9895,0.0381,0.1181,0.997
16:00:43:696,0.9885,0.0410,0.1125,0.996
16:00:43:710,0.9876,0.0420,0.1083,0.994
16:00:43:711,0.9868,0.0430,0.1105,0.994
16:00:43:712,0.9832,0.0447,0.1171,0.991
16:00:43:717,0.9766,0.0452,0.1222,0.985
16:00:43:722,0.9734,0.0420,0.1252,0.982
16:00:43:727,0.9766,0.0390,0.1303,0.986
16:00:43:731,0.9792,0.0388,0.1398,0.990
16:00:43:736,0.9785,0.0415,0.1513,0.991
16:00:43:742,0.9761,0.0427,0.1562,0.989
16:00:43:747,0.9744,0.0425,0.1526,0.987
16:00:43:752,0.9724,0.0420,0.1484,0.985
16:00:43:756,0.9731,0.0422,0.1445,0.985
16:00:43:762,0.9773,0.0400,0.1445,0.989
16:00:43:767,0.9819,0.0356,0.1438,0.993
16:00:43:771,0.9841,0.0315,0.1416,0.995
16:00:43:777,0.9797,0.0288,0.1425,0.990
16:00:43:782,0.9729,0.0276,0.1477,0.984
16:00:43:796,0.9673,0.0258,0.1550,0.980
16:00:43:797,0.9685,0.0239,0.1609,0.982
16:00:43:799,0.9753,0.0217,0.1658,0.990
16:00:43:802,0.9841,0.0217,0.1650,0.998
16:00:43:807,0.9920,0.0236,0.1596,1.005
16:00:43:811,0.9968,0.0261,0.1545,1.009
16:00:43:818,0.9993,0.0254,0.1543,1.011
16:00:43:822,0.9959,0.0263,0.1543,1.008
16:00:43:827,0.9868,0.0342,0.1484,0.999
16:00:43:832,0.9714,0.0444,0.1401,0.982
16:00:43:837,0.9548,0.0557,0.1376,0.966
16:00:43:842,0.9462,0.0613,0.1428,0.959
16:00:43:847,0.9484,0.0579,0.1486,0.962
16:00:43:852,0.9553,0.0515,0.1511,0.969
16:00:43:857,0.9638,0.0469,0.1518,0.977
16:00:43:866,0.9704,0.0454,0.1523,0.983
16:00:43:872,0.9748,0.0461,0.1535,0.988
16:00:43:873,0.9734,0.0474,0.1530,0.986
16:00:43:877,0.9670,0.0498,0.1489,0.980
16:00:43:882,0.9641,0.0503,0.1445,0.976
16:00:43:889,0.9660,0.0481,0.1418,0.978
16:00:43:892,0.9680,0.0442,0.1420,0.979
16:00:43:897,0.9673,0.0432,0.1442,0.979
16:00:43:902,0.9656,0.0434,0.1477,0.978
16:00:43:908,0.9658,0.0434,0.1526,0.979
16:00:43:912,0.9678,0.0432,0.1557,0.981
16:00:43:917,0.9695,0.0425,0.1557,0.983
16:00:43:922,0.9712,0.0420,0.1552,0.984
16:00:43:927,0.9702,0.0422,0.1535,0.983
16:00:43:933,0.9682,0.0427,0.1511,0.981
16:00:43:937,0.9665,0.0417,0.1491,0.979
16:00:43:942,0.9685,0.0393,0.1460,0.980
16:00:43:948,0.9714,0.0386,0.1401,0.982
16:00:43:953,0.9736,0.0405,0.1315,0.983
16:00:43:957,0.9766,0.0420,0.1237,0.985
16:00:43:962,0.9792,0.0412,0.1186,0.987
16:00:43:968,0.9778,0.0417,0.1139,0.985
16:00:43:973,0.9775,0.0422,0.1110,0.985
16:00:43:977,0.9810,0.0420,0.1115,0.988
16:00:43:985,0.9844,0.0410,0.1154,0.992
16:00:43:988,0.9846,0.0415,0.1193,0.993
16:00:43:992,0.9841,0.0408,0.1188,0.992
16:00:43:998,0.9854,0.0393,0.1152,0.993
16:00:44:002,0.9858,0.0395,0.1127,0.993
16:00:44:008,0.9858,0.0386,0.1122,0.993
16:00:44:012,0.9856,0.0376,0.1125,0.993
16:00:44:018,0.9854,0.0376,0.1156,0.993
16:00:44:023,0.9861,0.0378,0.1191,0.994
16:00:44:028,0.9849,0.0390,0.1230,0.993
16:00:44:033,0.9836,0.0400,0.1259,0.992
16:00:44:038,0.9824,0.0398,0.1252,0.991
16:00:44:043,0.9807,0.0388,0.1237,0.989
16:00:44:048,0.9805,0.0376,0.1244,0.989
16:00:44:053,0.9827,0.0368,0.1266,0.991
16:00:44:058,0.9854,0.0373,0.1293,0.995
16:00:44:063,0.9858,0.0381,0.1310,0.995
16:00:44:068,0.9836,0.0400,0.1320,0.993
16:00:44:073,0.9810,0.0422,0.1325,0.991
16:00:44:078,0.9785,0.0452,0.1306,0.988
16:00:44:086,0.9780,0.0476,0.1279,0.987
16:00:44:089,0.9800,0.0466,0.1247,0.989
16:00:44:093,0.9819,0.0474,0.1230,0.991
16:00:44:098,0.9844,0.0488,0.1225,0.993
16:00:44:103,0.9856,0.0476,0.1232,0.994
16:00:44:109,0.9844,0.0459,0.1240,0.993
16:00:44:113,0.9841,0.0454,0.1237,0.993
16:00:44:118,0.9851,0.0452,0.1227,0.994
16:00:44:123,0.9844,0.0444,0.1225,0.993
16:00:44:128,0.9795,0.0427,0.1254,0.988
16:00:44:133,0.9741,0.0417,0.1301,0.984
16:00:44:138,0.9712,0.0420,0.1359,0.982
16:00:44:143,0.9687,0.0417,0.1406,0.980
16:00:44:150,0.9685,0.0395,0.1416,0.980
16:00:44:153,0.9702,0.0376,0.1418,0.981
16:00:44:158,0.9726,0.0364,0.1411,0.983
16:00:44:164,0.9736,0.0356,0.1396,0.984
16:00:44:169,0.9741,0.0339,0.1350,0.984
16:00:44:173,0.9802,0.0324,0.1306,0.989
16:00:44:179,0.9868,0.0339,0.1271,0.996
16:00:44:187,0.9900,0.0349,0.1240,0.998
16:00:44:189,0.9888,0.0356,0.1232,0.997
16:00:44:193,0.9861,0.0381,0.1232,0.994
16:00:44:200,0.9807,0.0400,0.1225,0.989
16:00:44:203,0.9758,0.0412,0.1220,0.984
16:00:44:209,0.9746,0.0415,0.1191,0.983
16:00:44:214,0.9773,0.0415,0.1110,0.984
16:00:44:219,0.9829,0.0415,0.1000,0.989
16:00:44:224,0.9902,0.0400,0.0897,0.995
16:00:44:229,0.9966,0.0400,0.0814,1.001
16:00:44:233,0.9973,0.0412,0.0743,1.001
16:00:44:239,0.9929,0.0447,0.0690,0.996
16:00:44:244,0.9880,0.0466,0.0660,0.991
16:00:44:249,0.9863,0.0466,0.0675,0.990
16:00:44:255,0.9868,0.0478,0.0773,0.991
16:00:44:259,0.9863,0.0481,0.0912,0.992
16:00:44:265,0.9856,0.0469,0.1054,0.992
16:00:44:270,0.9841,0.0471,0.1186,0.992
16:00:44:275,0.9827,0.0469,0.1281,0.992
16:00:44:280,0.9797,0.0469,0.1325,0.990
16:00:44:286,0.9763,0.0481,0.1340,0.987
16:00:44:289,0.9753,0.0508,0.1310,0.985
16:00:44:294,0.9729,0.0540,0.1254,0.982
16:00:44:300,0.9660,0.0581,0.1178,0.975
16:00:44:304,0.9592,0.0620,0.1090,0.967
16:00:44:309,0.9558,0.0625,0.1015,0.963
16:00:44:314,0.9558,0.0647,0.0932,0.962
16:00:44:320,0.9577,0.0654,0.0841,0.964
16:00:44:324,0.9597,0.0662,0.0775,0.965
16:00:44:330,0.9592,0.0652,0.0724,0.964
16:00:44:334,0.9580,0.0637,0.0685,0.963
16:00:44:339,0.9590,0.0615,0.0677,0.963
16:00:44:344,0.9621,0.0593,0.0719,0.967
16:00:44:351,0.9663,0.0566,0.0780,0.971
16:00:44:354,0.9704,0.0566,0.0861,0.976
16:00:44:359,0.9744,0.0569,0.0973,0.981
16:00:44:365,0.9810,0.0559,0.1071,0.988
16:00:44:369,0.9873,0.0535,0.1127,0.995
16:00:44:374,0.9937,0.0449,0.1183,1.002
16:00:44:379,0.9995,0.0288,0.1225,1.007
16:00:44:386,0.9824,0.0466,0.1061,0.989
16:00:44:391,0.9692,0.0674,0.0912,0.976
16:00:44:394,0.9795,0.0669,0.0758,0.985
16:00:44:400,1.0015,0.0537,0.0638,1.005
16:00:44:404,1.0152,0.0464,0.0577,1.018
16:00:44:410,1.0157,0.0447,0.0575,1.018
16:00:44:414,1.0066,0.0481,0.0607,1.010
16:00:44:420,0.9959,0.0542,0.0658,1.000
16:00:44:425,0.9868,0.0591,0.0729,0.991
16:00:44:430,0.9817,0.0606,0.0780,0.987
16:00:44:436,0.9805,0.0610,0.0792,0.986
16:00:44:441,0.9819,0.0606,0.0743,0.987
16:00:44:444,0.9836,0.0601,0.0660,0.988
16:00:44:450,0.9863,0.0596,0.0572,0.990
16:00:44:455,0.9878,0.0579,0.0523,0.991
16:00:44:460,0.9866,0.0557,0.0538,0.990
16:00:44:465,0.9854,0.0557,0.0602,0.989
16:00:44:470,0.9841,0.0557,0.0658,0.988
16:00:44:475,0.9824,0.0554,0.0697,0.986
16:00:44:480,0.9805,0.0559,0.0731,0.985
16:00:44:487,0.9780,0.0557,0.0765,0.983
16:00:44:490,0.9768,0.0542,0.0819,0.982
16:00:44:495,0.9768,0.0527,0.0866,0.982
16:00:44:501,0.9770,0.0513,0.0888,0.982
16:00:44:505,0.9783,0.0496,0.0907,0.984
16:00:44:510,0.9785,0.0500,0.0910,0.984
16:00:44:515,0.9773,0.0522,0.0907,0.983
16:00:44:521,0.9758,0.0552,0.0910,0.982
16:00:44:525,0.9729,0.0579,0.0919,0.979
16:00:44:530,0.9719,0.0588,0.0924,0.978
16:00:44:535,0.9712,0.0596,0.0939,0.978
16:00:44:540,0.9719,0.0596,0.0951,0.978
16:00:44:545,0.9751,0.0596,0.0934,0.981
16:00:44:551,0.9780,0.0588,0.0873,0.984
16:00:44:555,0.9807,0.0569,0.0792,0.986
16:00:44:561,0.9827,0.0469,0.0633,0.986
16:00:44:567,0.9920,0.0234,0.0641,0.994
16:00:44:571,0.9841,0.0351,0.0487,0.986
16:00:44:575,0.9678,0.0694,0.0384,0.971
16:00:44:580,0.9658,0.0887,0.0357,0.971
16:00:44:586,0.9790,0.0852,0.0399,0.984
16:00:44:591,1.0000,0.0679,0.0479,1.003
16:00:44:595,1.0130,0.0508,0.0501,1.015
16:00:44:603,1.0118,0.0461,0.0497,1.014
16:00:44:606,1.0015,0.0508,0.0467,1.004
16:00:44:611,0.9890,0.0564,0.0453,0.992
16:00:44:618,0.9802,0.0593,0.0482,0.983
16:00:44:623,0.9734,0.0588,0.0492,0.976
16:00:44:625,0.9687,0.0593,0.0492,0.972
16:00:44:631,0.9692,0.0672,0.0631,0.974
16:00:44:635,0.9714,0.0701,0.0714,0.977
16:00:44:640,0.9751,0.0676,0.0761,0.980
16:00:44:645,0.9795,0.0640,0.0783,0.985
16:00:44:651,0.9824,0.0623,0.0758,0.987
16:00:44:655,0.9839,0.0591,0.0707,0.988
16:00:44:660,0.9876,0.0632,0.0758,0.992
16:00:44:666,0.9878,0.0659,0.0741,0.993
16:00:44:671,0.9858,0.0654,0.0697,0.990
16:00:44:675,0.9834,0.0632,0.0658,0.988
16:00:44:680,0.9824,0.0606,0.0611,0.986
16:00:44:686,0.9814,0.0588,0.0580,0.985
16:00:44:691,0.9814,0.0581,0.0563,0.985
16:00:44:695,0.9814,0.0571,0.0558,0.985
16:00:44:703,0.9817,0.0549,0.0550,0.985
16:00:44:706,0.9849,0.0510,0.0541,0.988
16:00:44:713,0.9885,0.0469,0.0545,0.991
16:00:44:716,0.9883,0.0403,0.0487,0.990
16:00:44:721,0.9851,0.0432,0.0514,0.987
16:00:44:726,0.9832,0.0486,0.0585,0.986
16:00:44:731,0.9783,0.0493,0.0629,0.982
16:00:44:736,0.9729,0.0466,0.0655,0.976
16:00:44:741,0.9697,0.0395,0.0616,0.972
16:00:44:745,0.9739,0.0444,0.0734,0.978
16:00:44:753,0.9792,0.0454,0.0753,0.983
16:00:44:756,0.9829,0.0390,0.0680,0.986
16:00:44:761,0.9932,0.0268,0.0746,0.996
16:00:44:766,0.9880,0.0334,0.0616,0.991
16:00:44:771,0.9746,0.0552,0.0543,0.978
16:00:44:776,0.9685,0.0718,0.0609,0.973
16:00:44:782,0.9761,0.0703,0.0736,0.981
16:00:44:787,0.9895,0.0569,0.0817,0.995
16:00:44:792,0.9990,0.0449,0.0839,1.004
16:00:44:796,0.9995,0.0390,0.0807,1.004
16:00:44:803,0.9964,0.0459,0.0858,1.001
16:00:44:807,0.9898,0.0515,0.0853,0.995
16:00:44:812,0.9812,0.0454,0.0719,0.985
16:00:44:817,0.9836,0.0288,0.0692,0.986
16:00:44:822,0.9805,0.0227,0.0479,0.982
16:00:44:826,0.9634,0.0552,0.0404,0.966
16:00:44:835,0.9565,0.0789,0.0470,0.961
16:00:44:836,0.9641,0.0696,0.0435,0.968
16:00:44:842,0.9834,0.0562,0.0516,0.986
16:00:44:846,1.0003,0.0471,0.0570,1.003
16:00:44:852,1.0064,0.0405,0.0541,1.009
16:00:44:856,1.0032,0.0410,0.0523,1.005
16:00:44:861,0.9968,0.0493,0.0577,1.000
16:00:44:867,0.9924,0.0354,0.0560,0.995
16:00:44:872,0.9890,0.0207,0.0462,0.990
16:00:44:876,0.9719,0.0469,0.0418,0.974
16:00:44:886,0.9546,0.0786,0.0431,0.959
16:00:44:887,0.9524,0.0896,0.0445,0.958
16:00:44:892,0.9643,0.0855,0.0531,0.970
16:00:44:897,0.9790,0.0757,0.0611,0.984
16:00:44:903,0.9885,0.0620,0.0575,0.992
16:00:44:907,0.9944,0.0584,0.0602,0.998
16:00:44:912,0.9968,0.0542,0.0616,1.000
16:00:44:916,0.9924,0.0420,0.0494,0.995
16:00:44:922,0.9788,0.0610,0.0457,0.982
16:00:44:926,0.9680,0.0777,0.0475,0.972
16:00:44:933,0.9658,0.0784,0.0465,0.970
16:00:44:936,0.9719,0.0716,0.0489,0.976
16:00:44:942,0.9785,0.0642,0.0521,0.982
16:00:44:946,0.9814,0.0571,0.0497,0.984
16:00:44:953,0.9817,0.0613,0.0580,0.985
16:00:44:958,0.9800,0.0650,0.0616,0.984
16:00:44:963,0.9770,0.0637,0.0597,0.981
16:00:44:969,0.9761,0.0464,0.0509,0.978
16:00:44:972,0.9719,0.0425,0.0318,0.973
16:00:44:978,0.9641,0.0706,0.0267,0.967
16:00:44:983,0.9663,0.0830,0.0264,0.970
16:00:44:988,0.9785,0.0713,0.0247,0.981
16:00:44:993,0.9929,0.0569,0.0267,0.995
16:00:44:997,1.0000,0.0493,0.0286,1.002
16:00:45:002,0.9983,0.0486,0.0325,1.000
16:00:45:007,0.9920,0.0510,0.0377,0.994
16:00:45:012,0.9844,0.0535,0.0438,0.987
16:00:45:017,0.9790,0.0544,0.0489,0.982
16:00:45:022,0.9775,0.0547,0.0536,0.981
16:00:45:027,0.9790,0.0547,0.0599,0.982
16:00:45:033,0.9785,0.0532,0.0609,0.982
16:00:45:038,0.9746,0.0508,0.0553,0.977
16:00:45:042,0.9719,0.0525,0.0548,0.975
16:00:45:047,0.9704,0.0535,0.0509,0.973
16:00:45:052,0.9731,0.0520,0.0548,0.976
16:00:45:058,0.9790,0.0371,0.0543,0.981
16:00:45:063,0.9663,0.0513,0.0382,0.968
16:00:45:067,0.9560,0.0706,0.0343,0.959
16:00:45:072,0.9641,0.0762,0.0306,0.968
16:00:45:078,0.9858,0.0674,0.0277,0.989
16:00:45:087,1.0074,0.0562,0.0255,1.009
16:00:45:090,1.0171,0.0510,0.0215,1.019
16:00:45:093,1.0179,0.0503,0.0198,1.019
16:00:45:097,1.0118,0.0510,0.0184,1.013
16:00:45:103,1.0022,0.0493,0.0189,1.004
16:00:45:107,0.9917,0.0474,0.0198,0.993
16:00:45:114,0.9851,0.0503,0.0274,0.987
16:00:45:118,0.9822,0.0481,0.0394,0.984
16:00:45:123,0.9775,0.0388,0.0379,0.979
16:00:45:127,0.9626,0.0527,0.0338,0.965
16:00:45:133,0.9563,0.0672,0.0377,0.959
16:00:45:138,0.9646,0.0676,0.0389,0.968
16:00:45:142,0.9800,0.0586,0.0389,0.982
16:00:45:147,0.9917,0.0518,0.0333,0.994
16:00:45:154,0.9949,0.0496,0.0313,0.997
16:00:45:158,0.9939,0.0422,0.0343,0.995
16:00:45:164,0.9822,0.0476,0.0313,0.984
16:00:45:168,0.9682,0.0588,0.0325,0.971
16:00:45:174,0.9624,0.0645,0.0323,0.965
16:00:45:179,0.9643,0.0632,0.0284,0.967
16:00:45:183,0.9695,0.0596,0.0240,0.972
16:00:45:188,0.9731,0.0564,0.0208,0.975
16:00:45:194,0.9724,0.0586,0.0179,0.974
16:00:45:198,0.9717,0.0620,0.0179,0.974
16:00:45:206,0.9736,0.0618,0.0169,0.976
16:00:45:208,0.9768,0.0603,0.0201,0.979
16:00:45:213,0.9827,0.0576,0.0220,0.985
16:00:45:218,0.9861,0.0557,0.0201,0.988
16:00:45:223,0.9846,0.0569,0.0208,0.986
16:00:45:228,0.9819,0.0584,0.0196,0.984
16:00:45:234,0.9800,0.0596,0.0181,0.982
16:00:45:238,0.9792,0.0584,0.0213,0.981
16:00:45:243,0.9795,0.0542,0.0262,0.981
16:00:45:248,0.9822,0.0500,0.0308,0.984
16:00:45:254,0.9849,0.0454,0.0296,0.986
16:00:45:258,0.9878,0.0420,0.0286,0.989
16:00:45:263,0.9902,0.0420,0.0296,0.992
16:00:45:268,0.9917,0.0427,0.0269,0.993
16:00:45:273,0.9937,0.0442,0.0237,0.995
16:00:45:278,0.9964,0.0466,0.0198,0.998
16:00:45:286,0.9971,0.0491,0.0137,0.998
16:00:45:289,0.9976,0.0510,0.0093,0.999
16:00:45:294,1.0005,0.0510,0.0052,1.002
16:00:45:298,1.0039,0.0518,0.0032,1.005
16:00:45:303,1.0064,0.0527,0.0044,1.008
16:00:45:308,1.0056,0.0554,0.0059,1.007
16:00:45:314,1.0005,0.0593,0.0091,1.002
16:00:45:318,0.9949,0.0623,0.0152,0.997
16:00:45:323,0.9905,0.0647,0.0242,0.993
16:00:45:328,0.9861,0.0642,0.0350,0.989
16:00:45:334,0.9817,0.0625,0.0433,0.985
16:00:45:338,0.9775,0.0625,0.0484,0.981
16:00:45:343,0.9724,0.0635,0.0521,0.976
16:00:45:348,0.9687,0.0640,0.0553,0.972
16:00:45:354,0.9670,0.0630,0.0565,0.971
16:00:45:360,0.9690,0.0608,0.0560,0.972
16:00:45:364,0.9731,0.0593,0.0538,0.976
16:00:45:369,0.9773,0.0581,0.0516,0.980
16:00:45:374,0.9800,0.0566,0.0492,0.983
16:00:45:379,0.9819,0.0552,0.0462,0.985
16:00:45:389,0.9824,0.0535,0.0421,0.985
16:00:45:390,0.9834,0.0510,0.0365,0.985
16:00:45:395,0.9841,0.0503,0.0313,0.986
16:00:45:403,0.9846,0.0503,0.0259,0.986
16:00:45:404,0.9844,0.0496,0.0228,0.986
16:00:45:409,0.9817,0.0493,0.0211,0.983
16:00:45:414,0.9783,0.0496,0.0193,0.980
16:00:45:420,0.9758,0.0493,0.0206,0.977
16:00:45:424,0.9746,0.0488,0.0245,0.976
16:00:45:429,0.9734,0.0481,0.0291,0.975
16:00:45:435,0.9744,0.0476,0.0330,0.976
16:00:45:439,0.9761,0.0469,0.0362,0.978
16:00:45:444,0.9780,0.0454,0.0369,0.980
16:00:45:449,0.9807,0.0454,0.0357,0.982
16:00:45:454,0.9844,0.0452,0.0335,0.986
16:00:45:459,0.9876,0.0434,0.0299,0.989
16:00:45:464,0.9907,0.0412,0.0281,0.992
16:00:45:469,0.9922,0.0415,0.0289,0.993
16:00:45:474,0.9929,0.0412,0.0306,0.994
16:00:45:479,0.9924,0.0425,0.0303,0.994
16:00:45:487,0.9910,0.0442,0.0286,0.992
16:00:45:491,0.9883,0.0469,0.0274,0.990
16:00:45:494,0.9858,0.0488,0.0259,0.987
16:00:45:500,0.9844,0.0498,0.0259,0.986
16:00:45:505,0.9819,0.0508,0.0281,0.984
16:00:45:509,0.9785,0.0525,0.0308,0.980
16:00:45:514,0.9761,0.0542,0.0316,0.978
16:00:45:519,0.9768,0.0552,0.0308,0.979
16:00:45:524,0.9788,0.0549,0.0296,0.981
16:00:45:529,0.9802,0.0540,0.0289,0.982
16:00:45:534,0.9812,0.0527,0.0281,0.983
16:00:45:539,0.9814,0.0522,0.0294,0.983
16:00:45:544,0.9824,0.0515,0.0321,0.984
16:00:45:549,0.9836,0.0496,0.0350,0.986
16:00:45:557,0.9829,0.0491,0.0360,0.985
16:00:45:560,0.9814,0.0478,0.0362,0.983
16:00:45:565,0.9800,0.0469,0.0377,0.982
16:00:45:570,0.9788,0.0466,0.0382,0.981
16:00:45:575,0.9766,0.0456,0.0377,0.978
16:00:45:580,0.9746,0.0447,0.0394,0.976
16:00:45:587,0.9714,0.0474,0.0382,0.973
16:00:45:589,0.9702,0.0500,0.0345,0.972
16:00:45:595,0.9712,0.0493,0.0303,0.973
16:00:45:602,0.9736,0.0476,0.0289,0.975
16:00:45:604,0.9758,0.0461,0.0279,0.977
16:00:45:609,0.9773,0.0461,0.0245,0.979
16:00:45:616,0.9783,0.0469,0.0225,0.980
16:00:45:619,0.9797,0.0456,0.0223,0.981
16:00:45:625,0.9810,0.0444,0.0215,0.982
16:00:45:630,0.9829,0.0434,0.0201,0.984
16:00:45:635,0.9839,0.0444,0.0213,0.985
16:00:45:639,0.9844,0.0461,0.0262,0.986
16:00:45:645,0.9836,0.0478,0.0325,0.985
16:00:45:650,0.9836,0.0456,0.0377,0.985
16:00:45:655,0.9824,0.0437,0.0372,0.984
16:00:45:661,0.9810,0.0452,0.0350,0.983
16:00:45:668,0.9812,0.0469,0.0343,0.983
16:00:45:670,0.9876,0.0471,0.0355,0.989
16:00:45:675,0.9961,0.0444,0.0374,0.998
16:00:45:681,1.0025,0.0405,0.0367,1.004
16:00:45:687,1.0049,0.0390,0.0355,1.006
16:00:45:690,1.0047,0.0398,0.0345,1.006
16:00:45:695,1.0010,0.0410,0.0328,1.002
16:00:45:703,0.9949,0.0415,0.0299,0.996
16:00:45:705,0.9905,0.0430,0.0274,0.992
16:00:45:710,0.9868,0.0427,0.0267,0.988
16:00:45:718,0.9849,0.0422,0.0257,0.986
16:00:45:721,0.9841,0.0417,0.0269,0.985
16:00:45:725,0.9827,0.0408,0.0308,0.984
16:00:45:730,0.9822,0.0381,0.0350,0.984
16:00:45:736,0.9800,0.0373,0.0360,0.981
16:00:45:740,0.9773,0.0398,0.0352,0.979
16:00:45:745,0.9785,0.0412,0.0347,0.980
16:00:45:750,0.9844,0.0422,0.0323,0.986
16:00:45:756,0.9927,0.0400,0.0303,0.994
16:00:45:760,1.0003,0.0364,0.0294,1.001
16:00:45:766,1.0034,0.0329,0.0255,1.004
16:00:45:770,1.0010,0.0329,0.0267,1.002
16:00:45:776,0.9956,0.0386,0.0284,0.997
16:00:45:781,0.9905,0.0432,0.0269,0.992
16:00:45:786,0.9876,0.0432,0.0255,0.989
16:00:45:790,0.9861,0.0420,0.0264,0.987
16:00:45:796,0.9824,0.0412,0.0279,0.984
16:00:45:802,0.9785,0.0422,0.0308,0.980
16:00:45:808,0.9756,0.0447,0.0360,0.977
16:00:45:810,0.9746,0.0461,0.0418,0.977
